https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1648353600000,2022-03-27 04:00:00,DOGE/USD,0.14135,0.15041,0.13631,0.14894,13511135.131811,2012348.4665319303
1648267200000,2022-03-26 04:00:00,DOGE/USD,0.13132,0.1421,0.13108,0.14135,7085326.216349,1001510.8606809312
1648180800000,2022-03-25 04:00:00,DOGE/USD,0.13536,0.13766,0.1275,0.13132,9160448.691121,1202950.1221180097
1648094400000,2022-03-24 04:00:00,DOGE/USD,0.13637,0.14137,0.13214,0.13536,17971360.403191,2432603.344175934
1648008000000,2022-03-23 04:00:00,DOGE/USD,0.12187,0.13848,0.12187,0.13637,11965057.707149,1631674.9195239092
1647921600000,2022-03-22 04:00:00,DOGE/USD,0.12174,0.12564,0.1212,0.12187,4585796.843351,558871.0612991864
1647835200000,2022-03-21 04:00:00,DOGE/USD,0.11944,0.1225,0.11878,0.12174,1265529.166064,154065.52067663136
1647748800000,2022-03-20 04:00:00,DOGE/USD,0.12228,0.12307,0.11749,0.11944,3584339.79164,428113.5447134816
1647662400000,2022-03-19 04:00:00,DOGE/USD,0.11878,0.12513,0.11869,0.12228,5637832.435303,689394.1501888508
1647576000000,2022-03-18 04:00:00,DOGE/USD,0.11501,0.12049,0.11436,0.11878,7813395.852905,928075.1594080558
1647489600000,2022-03-17 04:00:00,DOGE/USD,0.11695,0.11944,0.11474,0.11501,5283316.610181,607634.2433369168
1647403200000,2022-03-16 04:00:00,DOGE/USD,0.11274,0.11779,0.11253,0.11695,2831622.726494,331158.2778634733
1647316800000,2022-03-15 04:00:00,DOGE/USD,0.11247,0.116,0.11022,0.11274,4623027.762013,521200.1498893457
1647230400000,2022-03-14 04:00:00,DOGE/USD,0.11137,0.122,0.11133,0.11247,8410153.992962,945890.0195884362
1647144000000,2022-03-13 04:00:00,DOGE/USD,0.11588,0.11628,0.10997,0.11137,3150948.904776,350921.1795249031
1647057600000,2022-03-12 04:00:00,DOGE/USD,0.11642,0.11703,0.11425,0.11588,1251021.878213,144968.41524732244
1646971200000,2022-03-11 04:00:00,DOGE/USD,0.11587,0.11861,0.11384,0.11642,2912682.441432,339094.48983151343
1646884800000,2022-03-10 04:00:00,DOGE/USD,0.11898,0.11908,0.11465,0.11587,3977315.929795,460851.5967853466
1646798400000,2022-03-09 04:00:00,DOGE/USD,0.12157,0.12207,0.11843,0.11898,1079861.551937,128481.92744946425
1646712000000,2022-03-08 04:00:00,DOGE/USD,0.11897,0.12175,0.11671,0.12157,655507.045861,79689.99156532176
1646625600000,2022-03-07 04:00:00,DOGE/USD,0.11912,0.12264,0.1133,0.11897,5104490.87688,607281.2796224137
1646539200000,2022-03-06 04:00:00,DOGE/USD,0.12414,0.12489,0.11822,0.11912,4061404.054638,483794.4509884786
1646452800000,2022-03-05 04:00:00,DOGE/USD,0.1227,0.12558,0.12202,0.12414,1557129.540038,193302.06110031734
1646366400000,2022-03-04 04:00:00,DOGE/USD,0.12602,0.12861,0.12019,0.1227,7662723.761839,940216.2055776452
1646280000000,2022-03-03 04:00:00,DOGE/USD,0.13202,0.13379,0.12488,0.12602,3982072.613059,501820.79069769516
1646193600000,2022-03-02 04:00:00,DOGE/USD,0.13496,0.13496,0.13113,0.13202,1496062.947935,197510.2303863787
1646107200000,2022-03-01 04:00:00,DOGE/USD,0.13259,0.146,0.1298,0.13496,84886789.743948,11456321.143843222
1646020800000,2022-02-28 04:00:00,DOGE/USD,0.12337,0.13999,0.12165,0.13259,32079828.632948,4253464.478442576
1645934400000,2022-02-27 04:00:00,DOGE/USD,0.12502,0.12838,0.1212,0.12337,3034324.003019,374344.552252454
1645848000000,2022-02-26 04:00:00,DOGE/USD,0.12912,0.12967,0.1239,0.12502,2541989.421253,317799.51744505
1645761600000,2022-02-25 04:00:00,DOGE/USD,0.12361,0.13066,0.12061,0.12912,18015617.556996,2326176.5389593234
1645675200000,2022-02-24 04:00:00,DOGE/USD,0.11569,0.12498,0.11569,0.12361,1500006.853259,185415.84713134498
1645588800000,2022-02-23 04:00:00,DOGE/USD,0.13045,0.13558,0.11352,0.11569,8731066.040204,1010097.0301912008
1645502400000,2022-02-22 04:00:00,DOGE/USD,0.1256,0.132,0.12475,0.13045,4981674.180895,649859.3968977528
1645416000000,2022-02-21 04:00:00,DOGE/USD,0.13914,0.14186,0.12398,0.1256,7863646.432431,987673.9919133335
1645329600000,2022-02-20 04:00:00,DOGE/USD,0.1388,0.14012,0.13513,0.13914,3467413.826709,482455.9598482903
1645243200000,2022-02-19 04:00:00,DOGE/USD,0.14145,0.14633,0.1379,0.1388,3126803.684095,434000.351352386
1645156800000,2022-02-18 04:00:00,DOGE/USD,0.14105,0.14284,0.13612,0.14145,5751777.244953,813588.8912986018
1645070400000,2022-02-17 04:00:00,DOGE/USD,0.14799,0.14983,0.13716,0.14105,4365073.654379,615693.638950158
1644984000000,2022-02-16 04:00:00,DOGE/USD,0.15006,0.15026,0.14647,0.14799,2591781.965289,383557.81304311915
1644897600000,2022-02-15 04:00:00,DOGE/USD,0.14836,0.15237,0.14737,0.15006,4897247.335839,734880.9352160003
1644811200000,2022-02-14 04:00:00,DOGE/USD,0.14528,0.14937,0.14292,0.14836,4465342.157754,662478.1625243834
1644724800000,2022-02-13 04:00:00,DOGE/USD,0.14455,0.15792,0.14357,0.14528,22903794.535276,3327463.270084897
1644638400000,2022-02-12 04:00:00,DOGE/USD,0.14518,0.14749,0.14065,0.14455,4440485.818234,641872.2250257249
1644552000000,2022-02-11 04:00:00,DOGE/USD,0.15222,0.15432,0.14221,0.14518,5874650.981981,852881.8295640016
1644465600000,2022-02-10 04:00:00,DOGE/USD,0.15783,0.16056,0.14891,0.15222,10885458.08292,1656984.4293820823
1644379200000,2022-02-09 04:00:00,DOGE/USD,0.15595,0.1597,0.15595,0.15783,130539.419176,20603.03652854808
1644292800000,2022-02-08 04:00:00,DOGE/USD,0.16525,0.16985,0.15318,0.15595,12521591.268449,1952742.1583146215
1644206400000,2022-02-07 04:00:00,DOGE/USD,0.1595,0.17312,0.15493,0.16525,18851730.515475,3115248.4676822443
1644120000000,2022-02-06 04:00:00,DOGE/USD,0.14809,0.16104,0.14471,0.1595,9124635.822342,1455379.413663549
1644033600000,2022-02-05 04:00:00,DOGE/USD,0.1479,0.15071,0.14463,0.14809,7172245.221972,1062137.7949218336
1643947200000,2022-02-04 04:00:00,DOGE/USD,0.13822,0.14978,0.1379,0.1479,8626475.523912,1275855.7299865847
1643860800000,2022-02-03 04:00:00,DOGE/USD,0.13774,0.13885,0.13481,0.13822,7732038.884272,1068722.4145840758
1643774400000,2022-02-02 04:00:00,DOGE/USD,0.14298,0.14298,0.13579,0.13774,5007759.389076,689768.7782513283
1643688000000,2022-02-01 04:00:00,DOGE/USD,0.14369,0.14438,0.14135,0.14298,8747483.285523,1250715.1601640785
1643601600000,2022-01-31 04:00:00,DOGE/USD,0.13789,0.14407,0.13643,0.14369,9886463.210822,1420585.8987630133
1643515200000,2022-01-30 04:00:00,DOGE/USD,0.14181,0.14366,0.13652,0.13789,9755948.756888,1345247.7740872866
1643428800000,2022-01-29 04:00:00,DOGE/USD,0.14202,0.14428,0.14055,0.14181,6827221.645348,968168.3015267999
1643342400000,2022-01-28 04:00:00,DOGE/USD,0.14107,0.14282,0.1379,0.14202,6058395.787491,860413.3697394719
1643256000000,2022-01-27 04:00:00,DOGE/USD,0.14012,0.14599,0.13614,0.14107,10808590.086588,1524767.8035149693
1643169600000,2022-01-26 04:00:00,DOGE/USD,0.1459,0.1534,0.13839,0.14012,8622126.732539,1208132.3977633647
1643083200000,2022-01-25 04:00:00,DOGE/USD,0.13659,0.1506,0.13259,0.1459,29799542.166758,4347753.202129993
1642996800000,2022-01-24 04:00:00,DOGE/USD,0.13936,0.14097,0.12594,0.13659,45897625.683548,6269156.692115821
1642910400000,2022-01-23 04:00:00,DOGE/USD,0.13679,0.14458,0.13481,0.13936,21599313.27784,3010080.2983997827
1642824000000,2022-01-22 04:00:00,DOGE/USD,0.14229,0.14366,0.12011,0.13679,35177035.525189,4811866.689490602
1642737600000,2022-01-21 04:00:00,DOGE/USD,0.14982,0.15485,0.13972,0.14229,22092358.577694,3143521.702020079
1642651200000,2022-01-20 04:00:00,DOGE/USD,0.16544,0.16932,0.14867,0.14982,15559178.391765,2331076.1066542324
1642564800000,2022-01-19 04:00:00,DOGE/USD,0.16628,0.16635,0.16101,0.16544,2893802.988431,478750.7664060247
1642478400000,2022-01-18 04:00:00,DOGE/USD,0.16867,0.17232,0.16176,0.16628,16818219.462407,2796533.5322090364
1642392000000,2022-01-17 04:00:00,DOGE/USD,0.16965,0.17455,0.16575,0.16867,14602891.716152,2463069.7457633577
1642305600000,2022-01-16 04:00:00,DOGE/USD,0.18023,0.18438,0.16927,0.16965,14356599.490963,2435597.103641873
1642219200000,2022-01-15 04:00:00,DOGE/USD,0.19067,0.19491,0.17875,0.18023,9895028.21414,1783380.9350344522
1642132800000,2022-01-14 04:00:00,DOGE/USD,0.17621,0.215,0.175,0.19067,80487595.874723,15346569.905433435
1642046400000,2022-01-13 04:00:00,DOGE/USD,0.16664,0.1814,0.16149,0.17621,28310029.1508,4988510.236662468
1641960000000,2022-01-12 04:00:00,DOGE/USD,0.15311,0.16794,0.15311,0.16664,8422458.192139,1403518.433138043
1641873600000,2022-01-11 04:00:00,DOGE/USD,0.14571,0.16685,0.14295,0.15311,18085950.259027,2769139.844159624
