https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume BTC
1649390400000,2022-04-08 04:00:00,DOGE/BTC,3.44e-06,3.5e-06,3.33e-06,3.34e-06,268531.80338401,0.8968962233025934
1649304000000,2022-04-07 04:00:00,DOGE/BTC,3.3e-06,3.46e-06,3.27e-06,3.44e-06,244015.70364959,0.8394140205545896
1649217600000,2022-04-06 04:00:00,DOGE/BTC,3.54e-06,3.54e-06,3.26e-06,3.3e-06,458999.38227009,1.514697961491297
1649131200000,2022-04-05 04:00:00,DOGE/BTC,3.22e-06,3.9e-06,3.2e-06,3.54e-06,1846527.34036797,6.536706784902614
1649044800000,2022-04-04 04:00:00,DOGE/BTC,3.14e-06,3.39e-06,3.09e-06,3.22e-06,620413.52441375,1.997731548612275
1648958400000,2022-04-03 04:00:00,DOGE/BTC,3.02e-06,3.22e-06,3.02e-06,3.14e-06,235198.71894873,0.7385239774990122
1648872000000,2022-04-02 04:00:00,DOGE/BTC,3.06e-06,3.09e-06,3e-06,3.02e-06,111865.25330681,0.3378330649865662
1648785600000,2022-04-01 04:00:00,DOGE/BTC,3.03e-06,3.08e-06,3e-06,3.06e-06,96207.17419289,0.2943939530302434
1648699200000,2022-03-31 04:00:00,DOGE/BTC,3.07e-06,3.13e-06,2.99e-06,3.03e-06,488721.6135927,1.480826489185881
1648612800000,2022-03-30 04:00:00,DOGE/BTC,3.01e-06,3.08e-06,3.01e-06,3.07e-06,100443.40882323,0.3083612650873161
1648526400000,2022-03-29 04:00:00,DOGE/BTC,3.06e-06,3.1e-06,2.97e-06,3.01e-06,181850.52449164,0.5473700787198365
1648440000000,2022-03-28 04:00:00,DOGE/BTC,3.17e-06,3.23e-06,3.01e-06,3.06e-06,106525.87031044,0.3259691631499464
1648353600000,2022-03-27 04:00:00,DOGE/BTC,3.15e-06,3.2e-06,3.05e-06,3.17e-06,140947.77578456,0.44680444923705526
1648267200000,2022-03-26 04:00:00,DOGE/BTC,2.95e-06,3.18e-06,2.95e-06,3.15e-06,131688.46567744,0.414818666883936
1648180800000,2022-03-25 04:00:00,DOGE/BTC,3.08e-06,3.11e-06,2.9e-06,2.95e-06,76464.82358157,0.22557122956563153
1648094400000,2022-03-24 04:00:00,DOGE/BTC,3.2e-06,3.29e-06,3.06e-06,3.08e-06,351383.93575347,1.0822625221206876
